,PID,Gender,Sex_orient,Age,Pol_party,Pol_Id,Pol_Id_forced,Know_LGB,Know_trans,Religiosity,State,Rel_lib_marriage,Trans_bath,LG_job_discrim,LG_couple_adopt,Sum_Policies,Feel_therm_LG,Feel_therm_trans,Feel_therm_mean,Gov_pol_party_2020,Overall_rel
5834,5835,2,1,39,4,4,2,1,2,1,IA,0,0,1,1,2,60,60,60,Republican,0.55
6441,6442,2,1,51,4,2,,2,2,4,IA,0,0,1,1,2,70,60,65,Republican,0.55
7031,7032,1,1,29,4,,2,2,2,1,IA,0,0,1,1,2,80,50,65,Republican,0.55
1999,2000,1,1,68,1,6,,1,1,3,IA,0,0,1,1,2,85,50,67.5,Republican,0.55
4693,4694,2,1,69,1,2,,1,2,2,IA,0,0,1,1,2,85,50,67.5,Republican,0.55
7111,7112,1,1,80,2,7,,2,2,1,IA,0,0,1,1,2,79,60,69.5,Republican,0.55
2444,2445,2,1,49,4,3,,1,1,4,IA,0,0,1,1,2,85,70,77.5,Republican,0.55
3431,3432,1,1,40,1,4,1,2,2,2,IA,0,0,1,1,2,90,65,77.5,Republican,0.55
1306,1307,2,1,50,1,1,,1,2,5,IA,0,0,1,1,2,85,85,85,Republican,0.55
2498,2499,2,3,37,1,1,,1,1,5,IA,0,0,1,1,2,80,100,90,Republican,0.55
1466,1467,1,1,45,1,2,,1,1,5,IA,0,0,1,1,2,90,95,92.5,Republican,0.55
2589,2590,2,1,69,1,4,1,1,2,1,IA,0,0,1,1,2,100,100,100,Republican,0.55
3368,3369,2,1,70,1,,2,2,1,2,IA,0,0,1,1,2,100,100,100,Republican,0.55
5188,5189,2,3,24,,,1,1,2,1,IA,0,0,1,0,1,100,100,100,Republican,0.55
5618,5619,2,1,57,1,3,,1,2,3,IA,0,0,1,0,1,100,100,100,Republican,0.55
5938,5939,2,1,76,1,2,,2,2,4,IA,0,0,1,0,1,100,100,100,Republican,0.55
513,514,1,1,73,2,7,,1,2,4,IA,1,1,0,0,2,0,0,0,Republican,0.55
5345,5346,1,1,25,2,6,,2,2,1,IA,1,1,0,0,2,50,0,25,Republican,0.55
1076,1077,1,1,,2,6,,1,2,2,IA,1,1,0,0,2,50,50,50,Republican,0.55
7957,7958,2,1,63,4,6,,2,2,2,IA,1,1,0,0,2,50,50,50,Republican,0.55
8274,8275,2,1,54,,6,,1,1,1,IA,1,1,0,0,2,60,60,60,Republican,0.55
8194,8195,2,1,30,1,3,,2,2,1,IA,1,0,0,0,1,50,50,50,Republican,0.55
1199,1200,2,1,80,2,6,,2,2,1,IA,1,1,,,2,0,0,0,Republican,0.55
5709,5710,2,1,70,2,6,,1,2,1,ID,1,1,1,1,4,15,15,15,Republican,0.51
7537,7538,2,1,71,2,5,,1,2,1,ID,1,1,1,1,4,60,0,30,Republican,0.51
557,558,1,1,71,4,6,,2,2,1,ID,1,1,1,1,4,50,30,40,Republican,0.51
6693,6694,1,1,34,2,7,,1,2,1,ID,1,1,1,1,4,40,40,40,Republican,0.51
6842,6843,2,1,40,2,6,,1,2,5,ID,1,1,1,1,4,50,30,40,Republican,0.51
6888,6889,2,1,68,4,3,,2,2,1,ID,1,1,1,1,4,40,40,40,Republican,0.51
457,458,2,1,,4,5,,1,2,1,ID,1,1,1,1,4,40,50,45,Republican,0.51
3945,3946,2,1,26,4,6,,1,2,1,ID,1,1,1,1,4,90,0,45,Republican,0.51
427,428,2,1,66,2,5,,1,2,1,ID,1,1,1,1,4,50,50,50,Republican,0.51
1282,1283,1,1,53,2,6,,1,1,3,ID,1,1,1,1,4,50,50,50,Republican,0.51
1745,1746,1,1,64,,3,,1,2,4,ID,1,1,1,1,4,50,50,50,Republican,0.51
1749,1750,1,,,2,5,,2,2,1,ID,1,1,1,1,4,50,50,50,Republican,0.51
1805,1806,1,1,66,2,5,,1,2,2,ID,1,1,1,1,4,50,50,50,Republican,0.51
1932,1933,1,1,60,2,6,,1,2,2,ID,1,1,1,1,4,50,50,50,Republican,0.51
3380,3381,1,1,36,4,5,,2,2,5,ID,1,1,1,1,4,50,50,50,Republican,0.51
969,970,2,1,34,1,4,1,1,2,3,ID,1,1,1,1,4,50,60,55,Republican,0.51
8276,8277,2,1,52,2,6,,2,2,1,ID,1,1,1,1,4,60,50,55,Republican,0.51
444,445,1,1,70,2,4,2,2,2,1,ID,1,1,1,1,4,60,60,60,Republican,0.51
4240,4241,2,1,42,4,4,2,2,2,1,ID,1,1,1,1,4,60,60,60,Republican,0.51
2340,2341,2,1,50,2,6,,1,2,1,ID,1,1,1,1,4,85,85,85,Republican,0.51
7096,7097,2,1,77,2,5,,1,2,1,ID,1,1,1,1,4,,,,Republican,0.51
1979,1980,2,1,24,,4,2,2,1,3,ID,1,0,1,1,3,50,40,45,Republican,0.51
3793,3794,1,1,29,4,4,2,1,2,2,ID,1,0,1,1,3,50,45,47.5,Republican,0.51
1567,1568,2,1,,2,,2,1,2,2,ID,1,0,1,1,3,50,50,50,Republican,0.51
1888,1889,1,1,65,1,3,,2,2,3,ID,1,0,1,1,3,50,50,50,Republican,0.51
32,33,2,1,46,1,2,,2,2,5,ID,1,0,1,1,3,85,85,85,Republican,0.51
1116,1117,2,1,49,1,2,,1,2,4,ID,1,0,1,1,3,100,70,85,Republican,0.51
1618,1619,2,1,34,4,3,,,,1,ID,1,0,1,1,3,85,85,85,Republican,0.51
2066,2067,2,1,51,1,4,1,1,1,4,ID,1,0,1,1,3,85,85,85,Republican,0.51
1,2,2,1,37,4,4,1,1,2,5,ID,1,0,1,1,3,100,90,95,Republican,0.51
5042,5043,2,1,71,4,4,2,1,2,1,ID,0,1,1,1,3,30,5,17.5,Republican,0.51
15,16,1,1,66,,6,,1,1,3,ID,0,1,1,1,3,50,50,50,Republican,0.51
1689,1690,1,1,21,,,1,2,2,1,ID,0,1,1,1,3,50,50,50,Republican,0.51
3509,3510,1,1,37,,4,2,2,2,4,ID,0,1,1,1,3,50,50,50,Republican,0.51
8157,8158,1,1,43,2,4,1,1,2,5,ID,0,1,1,1,3,70,70,70,Republican,0.51
3805,3806,1,1,71,2,6,,1,2,3,ID,0,1,1,1,3,100,85,92.5,Republican,0.51
1366,1367,,,27,2,5,,1,2,4,ID,0,1,1,1,3,100,100,100,Republican,0.51
4402,4403,1,1,72,4,3,,2,2,3,ID,0,0,1,1,2,50,50,50,Republican,0.51
1900,1901,1,1,65,4,5,,2,2,3,ID,0,0,1,1,2,50,60,55,Republican,0.51
207,208,1,1,49,4,2,,1,2,5,ID,0,0,1,1,2,60,60,60,Republican,0.51
2362,2363,2,2,71,4,3,,1,2,3,ID,0,0,1,1,2,80,70,75,Republican,0.51
5035,5036,2,1,38,,,2,,,4,ID,0,0,1,1,2,80,70,75,Republican,0.51
3121,3122,1,1,46,1,2,,1,1,5,ID,0,0,1,1,2,70,85,77.5,Republican,0.51
5940,5941,1,1,44,1,2,,1,1,3,ID,0,0,1,1,2,85,70,77.5,Republican,0.51
8076,8077,2,1,25,,4,1,2,2,5,ID,0,0,1,1,2,85,70,77.5,Republican,0.51
5289,5290,2,1,29,2,5,,1,2,3,ID,0,0,1,1,2,90,70,80,Republican,0.51
600,601,2,1,42,4,4,1,1,2,4,ID,0,0,1,1,2,85,85,85,Republican,0.51
2504,2505,2,1,80,1,1,,1,2,4,ID,0,0,1,1,2,85,85,85,Republican,0.51
916,917,1,1,51,1,2,,1,2,2,ID,0,0,1,1,2,90,90,90,Republican,0.51
1566,1567,2,1,31,1,2,,1,2,5,ID,0,0,1,1,2,90,90,90,Republican,0.51
2346,2347,1,1,23,1,2,,1,1,3,ID,0,0,1,1,2,100,90,95,Republican,0.51
828,829,2,1,58,1,2,,1,2,4,ID,0,0,1,1,2,100,100,100,Republican,0.51
846,847,2,1,40,4,2,,1,2,2,ID,0,0,1,1,2,100,100,100,Republican,0.51
1044,1045,2,1,23,1,1,,1,2,5,ID,0,0,1,1,2,100,100,100,Republican,0.51
1535,1536,1,4,27,1,1,,1,1,3,ID,0,0,1,1,2,100,100,100,Republican,0.51
5972,5973,2,1,,,4,1,1,1,5,ID,0,0,1,0,1,100,100,100,Republican,0.51
6042,6043,1,1,20,,,1,1,2,5,ID,0,0,1,0,1,100,100,100,Republican,0.51
829,830,1,1,29,2,6,,2,2,1,ID,1,1,0,0,2,0,0,0,Republican,0.51
1468,1469,2,1,62,2,6,,1,2,1,ID,1,1,0,0,2,15,0,7.5,Republican,0.51
1408,1409,1,1,53,2,6,,1,2,2,ID,1,1,0,0,2,50,50,50,Republican,0.51
1590,1591,1,1,52,4,6,,2,1,1,ID,1,1,0,0,2,,50,50,Republican,0.51
453,454,2,1,38,2,7,,2,2,1,ID,1,1,0,0,2,50,70,60,Republican,0.51
5133,5134,2,1,48,4,6,,1,2,2,ID,1,0,0,0,1,50,50,50,Republican,0.51
621,622,1,1,80,,4,2,2,2,5,ID,1,0,0,0,1,100,85,92.5,Republican,0.51
6417,6418,1,1,63,2,,,1,2,1,ID,,,0,,0,50,50,50,Republican,0.51
103,104,2,1,37,2,6,,1,2,1,ID,1,1,,,2,50,50,50,Republican,0.51
6927,6928,1,1,38,,,1,2,1,1,IL,1,1,1,1,4,0,0,0,Democrat,0.51
3226,3227,1,1,72,,6,,1,2,1,IL,1,1,1,1,4,15,0,7.5,Democrat,0.51
6973,6974,2,1,73,,6,,2,2,3,IL,1,1,1,1,4,15,0,7.5,Democrat,0.51
8083,8084,2,1,76,,6,,2,2,1,IL,1,1,1,1,4,0,15,7.5,Democrat,0.51
6032,6033,1,1,68,,4,1,2,2,4,IL,1,1,1,1,4,25,0,12.5,Democrat,0.51
156,157,1,1,65,,6,,1,2,1,IL,1,1,1,1,4,15,15,15,Democrat,0.51
2411,2412,1,1,65,,,2,2,2,4,IL,1,1,1,1,4,40,15,27.5,Democrat,0.51
415,416,1,1,50,,6,,2,2,1,IL,1,1,1,1,4,40,40,40,Democrat,0.51
1583,1584,2,1,39,,5,,1,1,2,IL,1,1,1,1,4,40,40,40,Democrat,0.51
3749,3750,1,1,29,,2,,2,2,4,IL,1,1,1,1,4,50,30,40,Democrat,0.51
4913,4914,1,1,65,,5,,2,2,3,IL,1,1,1,1,4,50,30,40,Democrat,0.51
6847,6848,1,1,69,,,2,2,2,1,IL,1,1,1,1,4,50,30,40,Democrat,0.51
1479,1480,2,1,38,,6,,2,2,1,IL,1,1,1,1,4,70,15,42.5,Democrat,0.51
1380,1381,2,1,33,,5,,2,2,1,IL,1,1,1,1,4,50,40,45,Democrat,0.51
4006,4007,2,1,47,,,1,2,2,3,IL,1,1,1,1,4,40,50,45,Democrat,0.51
4815,4816,1,1,49,,4,1,1,2,5,IL,1,1,1,1,4,50,40,45,Democrat,0.51
5553,5554,1,1,,,4,2,2,2,3,IL,1,1,1,1,4,50,40,45,Democrat,0.51
5841,5842,2,1,69,,2,,1,2,5,IL,1,1,1,1,4,50,40,45,Democrat,0.51
5071,5072,1,1,30,,4,2,2,2,1,IL,1,1,1,1,4,50,44,47,Democrat,0.51
333,334,1,1,30,,,2,1,2,5,IL,1,1,1,1,4,50,50,50,Democrat,0.51
718,719,1,1,43,,3,,1,2,3,IL,1,1,1,1,4,50,50,50,Democrat,0.51
874,875,2,1,32,,6,,1,2,1,IL,1,1,1,1,4,50,50,50,Democrat,0.51
1212,1213,2,1,,,6,,2,2,1,IL,1,1,1,1,4,50,50,50,Democrat,0.51
1690,1691,1,1,36,,6,,1,2,3,IL,1,1,1,1,4,50,50,50,Democrat,0.51
3080,3081,2,1,65,,6,,1,2,2,IL,1,1,1,1,4,50,50,50,Democrat,0.51
3601,3602,1,1,80,,5,,2,2,1,IL,1,1,1,1,4,50,50,50,Democrat,0.51
3949,3950,1,1,22,,4,1,2,2,3,IL,1,1,1,1,4,50,50,50,Democrat,0.51
5001,5002,1,1,57,,6,,1,2,2,IL,1,1,1,1,4,50,50,50,Democrat,0.51
5199,5200,1,1,37,,6,,1,2,1,IL,1,1,1,1,4,50,50,50,Democrat,0.51
5559,5560,1,1,63,,,2,2,2,5,IL,1,1,1,1,4,50,50,50,Democrat,0.51
5886,5887,1,1,72,,4,,2,2,2,IL,1,1,1,1,4,50,50,50,Democrat,0.51
5920,5921,1,1,38,,6,,2,2,2,IL,1,1,1,1,4,50,50,50,Democrat,0.51
6523,6524,1,1,49,,,1,2,2,1,IL,1,1,1,1,4,50,50,50,Democrat,0.51
6926,6927,2,,51,,5,,2,2,3,IL,1,1,1,1,4,50,50,50,Democrat,0.51
7011,7012,1,1,64,,6,,1,2,4,IL,1,1,1,1,4,50,50,50,Democrat,0.51
7084,7085,1,1,42,,7,,1,2,3,IL,1,1,1,1,4,50,,50,Democrat,0.51
7591,7592,1,1,50,,5,,1,2,3,IL,1,1,1,1,4,50,50,50,Democrat,0.51
8008,8009,1,1,64,,6,,1,2,1,IL,1,1,1,1,4,50,50,50,Democrat,0.51
2627,2628,2,1,36,,6,,1,2,1,IL,1,1,1,1,4,70,40,55,Democrat,0.51
4081,4082,2,1,46,,6,,1,2,2,IL,1,1,1,1,4,45,65,55,Democrat,0.51
2272,2273,1,1,52,,6,,1,2,4,IL,1,1,1,1,4,75,40,57.5,Democrat,0.51
1093,1094,2,1,46,,6,,1,2,3,IL,1,1,1,1,4,60,60,60,Democrat,0.51
7279,7280,2,1,62,,6,,2,2,3,IL,1,1,1,1,4,70,50,60,Democrat,0.51
5496,5497,2,1,65,,6,,2,2,1,IL,1,1,1,1,4,70,60,65,Democrat,0.51
2855,2856,1,1,54,,5,,1,2,3,IL,1,1,1,1,4,70,70,70,Democrat,0.51
7397,7398,2,1,39,,6,,1,2,1,IL,1,1,1,1,4,70,70,70,Democrat,0.51
4483,4484,1,1,60,,,1,1,1,3,IL,1,1,1,1,4,98,50,74,Democrat,0.51
6162,6163,1,1,59,,3,,1,1,2,IL,1,1,1,1,4,85,70,77.5,Democrat,0.51
6151,6152,2,1,37,,6,,1,2,4,IL,1,1,1,1,4,90,70,80,Democrat,0.51
3944,3945,2,1,73,,2,,1,2,4,IL,1,1,1,1,4,100,85,92.5,Democrat,0.51
4830,4831,2,1,49,,,2,1,2,1,IL,1,1,1,1,4,100,85,92.5,Democrat,0.51
3074,3075,2,1,39,,6,,1,1,2,IL,1,1,1,1,4,100,100,100,Democrat,0.51
7526,7527,2,1,54,,3,,1,2,2,IL,1,1,1,1,4,100,100,100,Democrat,0.51
2666,2667,1,1,,,6,,2,2,1,IL,1,0,1,1,3,15,50,32.5,Democrat,0.51
2603,2604,2,1,50,,6,,1,2,1,IL,1,0,1,1,3,60,15,37.5,Democrat,0.51
589,590,1,1,28,,6,,2,2,1,IL,1,0,1,1,3,40,50,45,Democrat,0.51
398,399,1,1,32,,,1,2,2,1,IL,1,0,1,1,3,50,50,50,Democrat,0.51
2250,2251,2,1,36,,6,,2,2,4,IL,1,0,1,1,3,50,50,50,Democrat,0.51
4089,4090,1,1,38,,3,,2,2,3,IL,1,0,1,1,3,50,50,50,Democrat,0.51
4688,4689,2,1,41,,5,,2,2,5,IL,1,0,1,1,3,50,50,50,Democrat,0.51
5826,5827,2,1,80,,5,,2,2,1,IL,1,0,1,1,3,40,60,50,Democrat,0.51
6359,6360,1,1,76,,,2,2,2,3,IL,1,0,1,1,3,50,50,50,Democrat,0.51
6380,6381,2,1,36,,7,,1,2,1,IL,1,0,1,1,3,50,50,50,Democrat,0.51
6455,6456,2,1,38,,5,,2,2,1,IL,1,0,1,1,3,50,50,50,Democrat,0.51
962,963,2,1,45,,5,,1,2,2,IL,1,0,1,1,3,60,50,55,Democrat,0.51
1649,1650,2,1,79,,3,,1,2,2,IL,1,0,1,1,3,70,50,60,Democrat,0.51
2103,2104,1,1,47,,4,2,1,2,2,IL,1,0,1,1,3,70,50,60,Democrat,0.51
2850,2851,1,1,29,,3,,1,2,5,IL,1,0,1,1,3,70,70,70,Democrat,0.51
478,479,1,1,78,,2,,1,2,1,IL,1,0,1,1,3,85,70,77.5,Democrat,0.51
2582,2583,1,1,35,,5,,2,2,4,IL,1,0,1,1,3,70,85,77.5,Democrat,0.51
6059,6060,2,1,50,,3,,1,2,3,IL,1,0,1,1,3,85,70,77.5,Democrat,0.51
60,61,1,1,54,,5,,1,2,3,IL,1,0,1,1,3,85,85,85,Democrat,0.51
556,557,1,1,72,,2,,1,2,1,IL,1,0,1,1,3,85,85,85,Democrat,0.51
1791,1792,2,1,66,,6,,2,2,1,IL,1,0,1,1,3,85,85,85,Democrat,0.51
5017,5018,1,1,39,,5,,1,2,5,IL,1,0,1,1,3,85,85,85,Democrat,0.51
5563,5564,2,1,64,,2,,1,1,5,IL,1,0,1,1,3,85,85,85,Democrat,0.51
7265,7266,2,1,73,,5,,1,2,2,IL,1,0,1,1,3,95,75,85,Democrat,0.51
8191,8192,1,1,32,,3,,1,1,4,IL,1,0,1,1,3,85,85,85,Democrat,0.51
284,285,1,1,25,,2,,1,2,3,IL,1,0,1,1,3,90,85,87.5,Democrat,0.51
7190,7191,1,1,39,,4,1,1,2,3,IL,1,0,1,1,3,90,85,87.5,Democrat,0.51
2701,2702,2,1,54,,3,,1,2,5,IL,1,0,1,1,3,90,90,90,Democrat,0.51
3539,3540,2,1,60,,2,,2,2,1,IL,1,0,1,1,3,85,100,92.5,Democrat,0.51
69,70,2,1,33,,2,,1,2,3,IL,1,0,1,1,3,100,100,100,Democrat,0.51
3291,3292,1,1,42,,2,,1,2,4,IL,1,0,1,1,3,100,100,100,Democrat,0.51
3980,3981,2,1,19,,2,,1,2,3,IL,1,0,1,1,3,100,100,100,Democrat,0.51
5970,5971,1,1,24,,4,1,1,2,4,IL,1,0,1,1,3,100,100,100,Democrat,0.51
6708,6709,1,1,30,,5,,1,2,5,IL,1,0,1,1,3,100,100,100,Democrat,0.51
7879,7880,1,1,60,,6,,2,2,2,IL,1,,1,1,3,40,50,45,Democrat,0.51
790,791,1,1,46,,2,,1,1,3,IL,1,,1,1,3,50,50,50,Democrat,0.51
8110,8111,2,1,74,,,3,1,2,3,IL,1,,1,1,3,85,85,85,Democrat,0.51
1703,1704,2,1,69,,2,,2,2,5,IL,0,1,1,1,3,40,30,35,Democrat,0.51
220,221,1,1,61,,5,,1,2,3,IL,0,1,1,1,3,50,30,40,Democrat,0.51
1103,1104,2,1,41,,5,,2,2,1,IL,0,1,1,1,3,40,40,40,Democrat,0.51
5736,5737,2,3,19,,5,,1,2,5,IL,0,1,1,1,3,50,30,40,Democrat,0.51
7128,7129,1,1,60,,,,1,2,3,IL,0,1,1,1,3,50,30,40,Democrat,0.51
1126,1127,2,1,75,,5,,1,2,5,IL,0,1,1,1,3,50,50,50,Democrat,0.51
1151,1152,2,1,38,,3,,1,2,4,IL,0,1,1,1,3,50,50,50,Democrat,0.51
1355,1356,2,1,37,,4,1,1,2,3,IL,0,1,1,1,3,50,50,50,Democrat,0.51
2187,2188,2,1,41,,5,,2,2,2,IL,0,1,1,1,3,50,50,50,Democrat,0.51
3188,3189,1,1,49,,3,,2,2,5,IL,0,1,1,1,3,50,50,50,Democrat,0.51
3443,3444,2,1,49,,,2,2,2,2,IL,0,1,1,1,3,50,50,50,Democrat,0.51
3544,3545,1,3,38,,3,,1,2,5,IL,0,1,1,1,3,50,50,50,Democrat,0.51
5694,5695,2,1,41,,,1,1,2,3,IL,0,1,1,1,3,50,50,50,Democrat,0.51
6930,6931,1,1,60,,,2,1,2,1,IL,0,1,1,1,3,50,,50,Democrat,0.51
7775,7776,2,1,30,,2,,1,2,4,IL,0,1,1,1,3,50,50,50,Democrat,0.51
8235,8236,2,1,50,,5,,1,2,2,IL,0,1,1,1,3,50,50,50,Democrat,0.51
396,397,2,1,55,,4,1,1,1,1,IL,0,1,1,1,3,60,50,55,Democrat,0.51
832,833,2,1,35,,,1,1,2,2,IL,0,1,1,1,3,50,60,55,Democrat,0.51
1950,1951,1,1,58,,,1,2,2,2,IL,0,1,1,1,3,60,50,55,Democrat,0.51
4569,4570,1,1,40,,3,,2,2,4,IL,0,1,1,1,3,60,50,55,Democrat,0.51
5386,5387,2,1,80,,6,,2,2,2,IL,0,1,1,1,3,60,50,55,Democrat,0.51
827,828,1,1,70,,,1,1,2,4,IL,0,1,1,1,3,70,50,60,Democrat,0.51
1962,1963,2,1,54,,4,1,1,2,3,IL,0,1,1,1,3,60,60,60,Democrat,0.51
1871,1872,1,1,39,,5,,1,2,2,IL,0,1,1,1,3,85,50,67.5,Democrat,0.51
3060,3061,1,1,73,,2,,2,2,1,IL,0,1,1,1,3,85,50,67.5,Democrat,0.51
1423,1424,1,1,43,,2,,2,2,2,IL,0,1,1,1,3,65,75,70,Democrat,0.51
2667,2668,2,1,80,,4,2,2,2,1,IL,0,1,1,1,3,70,70,70,Democrat,0.51
2714,2715,2,4,42,,1,,1,2,3,IL,0,1,1,1,3,70,70,70,Democrat,0.51
7790,7791,2,1,21,,5,,1,2,2,IL,0,1,1,1,3,70,70,70,Democrat,0.51
2056,2057,1,1,67,,3,,1,1,3,IL,0,1,1,1,3,85,60,72.5,Democrat,0.51
1569,1570,1,1,26,,3,,1,2,4,IL,0,1,1,1,3,100,50,75,Democrat,0.51
834,835,2,3,34,,,1,1,2,5,IL,0,1,1,1,3,85,70,77.5,Democrat,0.51
2684,2685,1,1,37,,5,,1,2,3,IL,0,1,1,1,3,80,80,80,Democrat,0.51
4751,4752,1,,73,,2,,1,2,4,IL,0,1,1,1,3,95,80,87.5,Democrat,0.51
2130,2131,2,1,42,,6,,2,2,2,IL,0,1,1,1,3,100,85,92.5,Democrat,0.51
570,571,2,2,28,,3,,1,2,1,IL,0,1,1,1,3,100,100,100,Democrat,0.51
2565,2566,2,1,44,,5,,1,2,3,IL,0,1,1,1,3,100,100,100,Democrat,0.51
2949,2950,1,1,70,,,1,1,2,1,IL,0,1,1,1,3,100,100,100,Democrat,0.51
2954,2955,2,1,44,,1,,1,2,2,IL,0,1,1,1,3,100,100,100,Democrat,0.51
3580,3581,2,1,24,,4,1,1,2,2,IL,0,1,1,1,3,100,100,100,Democrat,0.51
4312,4313,2,1,40,,3,,1,1,3,IL,0,1,1,1,3,100,100,100,Democrat,0.51
4726,4727,2,1,,,,2,1,2,1,IL,0,1,1,1,3,100,100,100,Democrat,0.51
5455,5456,2,1,42,,5,,1,2,4,IL,0,1,1,1,3,100,100,100,Democrat,0.51
1764,1765,2,1,80,,,2,2,2,2,IL,0,0,1,1,2,50,10,30,Democrat,0.51
3326,3327,1,1,80,,5,,2,2,2,IL,0,0,1,1,2,30,30,30,Democrat,0.51
369,370,2,1,48,,6,,2,2,1,IL,0,0,1,1,2,40,40,40,Democrat,0.51
2776,2777,1,1,66,,3,,1,2,2,IL,0,0,1,1,2,50,40,45,Democrat,0.51
1243,1244,1,1,40,,4,1,2,2,4,IL,0,0,1,1,2,51,40,45.5,Democrat,0.51
3444,3445,1,1,73,,4,2,2,2,1,IL,0,0,1,1,2,51,45,48,Democrat,0.51
310,311,1,2,60,,2,,1,2,4,IL,0,0,1,1,2,50,50,50,Democrat,0.51
965,966,1,1,66,,,2,1,2,5,IL,0,0,1,1,2,50,50,50,Democrat,0.51
1588,1589,2,1,46,,2,,1,2,5,IL,0,0,1,1,2,50,50,50,Democrat,0.51
1758,1759,2,1,75,,,2,2,2,2,IL,0,0,1,1,2,50,50,50,Democrat,0.51
1944,1945,1,1,55,,4,1,1,2,5,IL,0,0,1,1,2,50,50,50,Democrat,0.51
2453,2454,2,4,39,,1,,1,2,3,IL,0,0,1,1,2,50,50,50,Democrat,0.51
2564,2565,1,1,41,,2,,1,2,5,IL,0,0,1,1,2,50,50,50,Democrat,0.51
2753,2754,1,1,39,,,2,1,1,4,IL,0,0,1,1,2,50,50,50,Democrat,0.51
2800,2801,2,1,68,,6,,2,2,3,IL,0,0,1,1,2,50,50,50,Democrat,0.51
3671,3672,1,1,47,,4,2,1,1,3,IL,0,0,1,1,2,50,50,50,Democrat,0.51
4197,4198,2,1,66,,4,2,2,2,5,IL,0,0,1,1,2,50,50,50,Democrat,0.51
4654,4655,2,1,69,,3,,1,2,3,IL,0,0,1,1,2,50,50,50,Democrat,0.51
4823,4824,1,1,28,,4,1,1,2,3,IL,0,0,1,1,2,50,50,50,Democrat,0.51
5763,5764,1,1,62,,4,2,1,2,3,IL,0,0,1,1,2,50,50,50,Democrat,0.51
5925,5926,1,1,60,,,2,2,2,1,IL,0,0,1,1,2,50,50,50,Democrat,0.51
6816,6817,2,1,65,,4,2,2,2,1,IL,0,0,1,1,2,50,50,50,Democrat,0.51
1224,1225,1,1,50,,3,,1,2,4,IL,0,0,1,1,2,60,50,55,Democrat,0.51
2807,2808,1,1,57,,4,1,1,2,2,IL,0,0,1,1,2,60,50,55,Democrat,0.51
3321,3322,2,3,27,,4,1,1,2,3,IL,0,0,1,1,2,50,60,55,Democrat,0.51
1742,1743,2,1,49,,6,,2,2,4,IL,0,0,1,1,2,70,50,60,Democrat,0.51
2134,2135,2,1,50,,,2,1,2,5,IL,0,0,1,1,2,70,50,60,Democrat,0.51
2553,2554,2,1,62,,5,,1,2,2,IL,0,0,1,1,2,70,50,60,Democrat,0.51
7132,7133,2,1,55,,4,2,1,2,3,IL,0,0,1,1,2,60,60,60,Democrat,0.51
1656,1657,1,2,70,,3,,1,2,2,IL,0,0,1,1,2,85,40,62.5,Democrat,0.51
4433,4434,1,1,50,,2,,1,2,4,IL,0,0,1,1,2,65,60,62.5,Democrat,0.51
1436,1437,2,1,35,,3,,1,2,5,IL,0,0,1,1,2,70,60,65,Democrat,0.51
6090,6091,2,1,59,,2,,1,2,2,IL,0,0,1,1,2,70,60,65,Democrat,0.51
960,961,2,1,41,,2,,1,2,5,IL,0,0,1,1,2,85,50,67.5,Democrat,0.51
7056,7057,2,1,65,,4,2,1,2,3,IL,0,0,1,1,2,85,50,67.5,Democrat,0.51
542,543,2,1,53,,2,,1,2,3,IL,0,0,1,1,2,70,70,70,Democrat,0.51
619,620,2,2,55,,2,,1,2,1,IL,0,0,1,1,2,100,40,70,Democrat,0.51
1770,1771,1,1,64,,2,,1,2,4,IL,0,0,1,1,2,90,50,70,Democrat,0.51
3015,3016,1,1,34,,2,,2,2,5,IL,0,0,1,1,2,70,70,70,Democrat,0.51
3038,3039,2,1,59,,,1,1,2,2,IL,0,0,1,1,2,70,70,70,Democrat,0.51
3386,3387,1,1,74,,5,,1,2,5,IL,0,0,1,1,2,70,70,70,Democrat,0.51
3439,3440,1,1,47,,2,,1,2,5,IL,0,0,1,1,2,70,70,70,Democrat,0.51
4713,4714,1,3,27,,1,,1,1,5,IL,0,0,1,1,2,70,70,70,Democrat,0.51
5061,5062,1,1,19,,3,,2,2,4,IL,0,0,1,1,2,70,70,70,Democrat,0.51
5873,5874,2,1,38,,3,,1,2,2,IL,0,0,1,1,2,80,60,70,Democrat,0.51
6280,6281,1,1,37,,2,,1,1,5,IL,0,0,1,1,2,70,70,70,Democrat,0.51
7671,7672,2,1,19,,3,,1,1,2,IL,0,0,1,1,2,70,70,70,Democrat,0.51
7971,7972,1,1,45,,4,1,1,2,3,IL,0,0,1,1,2,70,70,70,Democrat,0.51
886,887,2,1,62,,4,2,2,2,3,IL,0,0,1,1,2,85,60,72.5,Democrat,0.51
6413,6414,2,1,53,,4,2,1,2,1,IL,0,0,1,1,2,85,60,72.5,Democrat,0.51
679,680,2,1,55,,4,1,1,2,3,IL,0,0,1,1,2,75,75,75,Democrat,0.51
1616,1617,1,1,62,,4,1,2,2,4,IL,0,0,1,1,2,75,75,75,Democrat,0.51
2709,2710,2,3,29,,2,,1,1,5,IL,0,0,1,1,2,100,50,75,Democrat,0.51
5134,5135,2,1,41,,2,,1,2,5,IL,0,0,1,1,2,100,50,75,Democrat,0.51
